periodic_issue,periodic_url,periodic_url_programme,periodic_date,is_programme
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 82 (6753), 6 апреля",https://electro.nekrasovka.ru/books/6163985/pages/1,https://api.electro.nekrasovka.ru/api/books/6163985/pages/4/img/original,1946/4/6,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 83 (6754), 8 апреля",https://electro.nekrasovka.ru/books/6163987/pages/1,https://api.electro.nekrasovka.ru/api/books/6163987/pages/4/img/original,1946/4/8,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 84 (6755), 9 апреля",https://electro.nekrasovka.ru/books/6163989/pages/1,https://api.electro.nekrasovka.ru/api/books/6163989/pages/4/img/original,1946/4/9,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 85 (6756), 10 апреля",https://electro.nekrasovka.ru/books/6163991/pages/1,https://api.electro.nekrasovka.ru/api/books/6163991/pages/4/img/original,1946/4/10,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 86 (6757), 11 апреля",https://electro.nekrasovka.ru/books/6163993/pages/1,https://api.electro.nekrasovka.ru/api/books/6163993/pages/4/img/original,1946/4/11,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 87 (6758), 12 апреля",https://electro.nekrasovka.ru/books/6163995/pages/1,https://api.electro.nekrasovka.ru/api/books/6163995/pages/4/img/original,1946/4/12,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 88 (6759), 13 апреля",https://electro.nekrasovka.ru/books/6163997/pages/1,https://api.electro.nekrasovka.ru/api/books/6163997/pages/4/img/original,1946/4/13,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 89 (6760), 15 апреля",https://electro.nekrasovka.ru/books/6164001/pages/1,https://api.electro.nekrasovka.ru/api/books/6164001/pages/4/img/original,1946/4/15,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 90 (6761), 16 апреля",https://electro.nekrasovka.ru/books/6164002/pages/1,https://api.electro.nekrasovka.ru/api/books/6164002/pages/4/img/original,1946/4/16,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 91 (6762), 17 апреля",https://electro.nekrasovka.ru/books/6164005/pages/1,https://api.electro.nekrasovka.ru/api/books/6164005/pages/4/img/original,1946/4/17,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 92 (6763), 18 апреля",https://electro.nekrasovka.ru/books/6164006/pages/1,https://api.electro.nekrasovka.ru/api/books/6164006/pages/4/img/original,1946/4/18,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 93 (6764), 19 апреля",https://electro.nekrasovka.ru/books/6164009/pages/1,https://api.electro.nekrasovka.ru/api/books/6164009/pages/4/img/original,1946/4/19,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 94 (6765), 20 апреля",https://electro.nekrasovka.ru/books/6164011/pages/1,https://api.electro.nekrasovka.ru/api/books/6164011/pages/4/img/original,1946/4/20,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 95 (6766), 22 апреля",https://electro.nekrasovka.ru/books/6164013/pages/1,https://api.electro.nekrasovka.ru/api/books/6164013/pages/4/img/original,1946/4/22,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 96 (6767), 23 апреля",https://electro.nekrasovka.ru/books/6164014/pages/1,https://api.electro.nekrasovka.ru/api/books/6164014/pages/4/img/original,1946/4/23,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 97 (6768), 24 апреля",https://electro.nekrasovka.ru/books/6164016/pages/1,https://api.electro.nekrasovka.ru/api/books/6164016/pages/4/img/original,1946/4/24,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 98 (6769), 25 апреля",https://electro.nekrasovka.ru/books/6164019/pages/1,https://api.electro.nekrasovka.ru/api/books/6164019/pages/4/img/original,1946/4/25,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 99 (6770), 26 апреля",https://electro.nekrasovka.ru/books/6164020/pages/1,https://api.electro.nekrasovka.ru/api/books/6164020/pages/4/img/original,1946/4/26,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 100 (6771), 27 апреля",https://electro.nekrasovka.ru/books/6164023/pages/1,https://api.electro.nekrasovka.ru/api/books/6164023/pages/4/img/original,1946/4/27,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 101 (6772), 29 апреля",https://electro.nekrasovka.ru/books/6164025/pages/1,https://api.electro.nekrasovka.ru/api/books/6164025/pages/4/img/original,1946/4/29,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 102 (6773), 30 апреля",https://electro.nekrasovka.ru/books/6164109/pages/1,https://api.electro.nekrasovka.ru/api/books/6164109/pages/4/img/original,1946/4/30,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 103 (6774), 1 мая",https://electro.nekrasovka.ru/books/6164111/pages/1,https://api.electro.nekrasovka.ru/api/books/6164111/pages/4/img/original,1946/5/1,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 104 (6775), 4 мая",https://electro.nekrasovka.ru/books/6164112/pages/1,https://api.electro.nekrasovka.ru/api/books/6164112/pages/4/img/original,1946/5/4,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 105 (6776), 6 мая",https://electro.nekrasovka.ru/books/6164115/pages/1,https://api.electro.nekrasovka.ru/api/books/6164115/pages/4/img/original,1946/5/6,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 106 (6777), 7 мая",https://electro.nekrasovka.ru/books/6164117/pages/1,https://api.electro.nekrasovka.ru/api/books/6164117/pages/4/img/original,1946/5/7,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 108 (6779), 10 мая",https://electro.nekrasovka.ru/books/6164118/pages/1,https://api.electro.nekrasovka.ru/api/books/6164118/pages/4/img/original,1946/5/10,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 109 (6780), 11 мая",https://electro.nekrasovka.ru/books/6164120/pages/1,https://api.electro.nekrasovka.ru/api/books/6164120/pages/4/img/original,1946/5/11,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 111 (6782), 14 мая",https://electro.nekrasovka.ru/books/6164123/pages/1,https://api.electro.nekrasovka.ru/api/books/6164123/pages/4/img/original,1946/5/14,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 112 (6783), 15 мая",https://electro.nekrasovka.ru/books/6164124/pages/1,https://api.electro.nekrasovka.ru/api/books/6164124/pages/4/img/original,1946/5/15,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 113 (6784), 16 мая",https://electro.nekrasovka.ru/books/6164126/pages/1,https://api.electro.nekrasovka.ru/api/books/6164126/pages/4/img/original,1946/5/16,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 114 (6785), 17 мая",https://electro.nekrasovka.ru/books/6164129/pages/1,https://api.electro.nekrasovka.ru/api/books/6164129/pages/4/img/original,1946/5/17,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 115 (6786), 18 мая",https://electro.nekrasovka.ru/books/6164131/pages/1,https://api.electro.nekrasovka.ru/api/books/6164131/pages/4/img/original,1946/5/18,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 116 (6787), 20 мая",https://electro.nekrasovka.ru/books/6164132/pages/1,https://api.electro.nekrasovka.ru/api/books/6164132/pages/4/img/original,1946/5/20,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 117 (6788), 21 мая",https://electro.nekrasovka.ru/books/6164134/pages/1,https://api.electro.nekrasovka.ru/api/books/6164134/pages/4/img/original,1946/5/21,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 118 (6789), 22 мая",https://electro.nekrasovka.ru/books/6164137/pages/1,https://api.electro.nekrasovka.ru/api/books/6164137/pages/4/img/original,1946/5/22,1
