film_id,country_id
flm0001206,ctr000001
flm0001207,ctr000001
flm0001208,ctr000001
flm0001209,ctr000001
flm0001211,ctr000001
flm0001212,ctr000001
flm0001213,ctr000001
flm0001214,ctr000001
flm0001215,ctr000001
flm0001217,ctr000001
flm0001218,ctr000001
flm0001219,ctr000001
flm0001220,ctr000001
flm0001221,ctr000001
flm0001222,ctr000001
flm0001223,ctr000001
flm0001224,ctr000001
flm0001225,ctr000001
flm0001226,ctr000001
flm0001227,ctr000001
flm0001229,ctr000001
flm0001230,ctr000001
flm0001231,ctr000001
flm0001232,ctr000001
flm0001233,ctr000001
flm0001234,ctr000001
flm0001236,ctr000001
flm0001237,ctr000001
flm0001238,ctr000001
flm0001240,ctr000001
flm0001241,ctr000001
flm0001242,ctr000001
flm0001244,ctr000001
flm0001245,ctr000001
flm0001246,ctr000001
flm0001247,ctr000001
flm0001248,ctr000001
flm0001249,ctr000001
flm0001250,ctr000001
flm0001251,ctr000001
flm0001253,ctr000001
flm0001254,ctr000001
flm0001255,ctr000001
flm0001257,ctr000001
flm0001258,ctr000001
flm0001259,ctr000001
flm0001261,ctr000001
flm0001262,ctr000001
flm0001263,ctr000001
flm0001264,ctr000001
flm0001265,ctr000001
flm0001266,ctr000001
flm0001268,ctr000001
flm0001269,ctr000001
flm0001270,ctr000001
flm0001271,ctr000001
flm0001272,ctr000001
flm0001273,ctr000001
flm0001276,ctr000001
flm0001277,ctr000001
flm0001278,ctr000001
flm0001279,ctr000001
flm0001280,ctr000001
flm0001281,ctr000001
flm0001283,ctr000001
flm0001285,ctr000001
flm0001286,ctr000001
flm0001287,ctr000001
flm0001289,ctr000001
flm0001290,ctr000001
flm0001291,ctr000001
flm0001292,ctr000001
flm0001293,ctr000001
flm0001294,ctr000001
flm0001295,ctr000001
flm0001296,ctr000001
flm0001297,ctr000001
flm0001298,ctr000001
flm0001299,ctr000001
flm0001300,ctr000001
flm0001301,ctr000001
flm0001302,ctr000001
flm0001303,ctr000001
flm0001304,ctr000001
flm0001305,ctr000001
flm0001307,ctr000001
flm0001308,ctr000001
flm0001309,ctr000001
flm0001310,ctr000001
flm0001314,ctr000001
flm0001315,ctr000001
flm0001316,ctr000001
flm0001317,ctr000001
flm0001318,ctr000001
flm0001320,ctr000001
flm0001321,ctr000001
flm0001322,ctr000001
flm0001323,ctr000001
flm0001324,ctr000001
flm0001325,ctr000001
