title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Киноконцерт 1942,tt0033789,flm0001130,https://www.imdb.com/title/tt0033789/,,,,,,
Кама-река,,flm0001131,,,,,,,
В горном Крыму,,flm0001132,,,,,,,
В садах Молдавии,,flm0001133,,,,,,,
Советская Осетия,,flm0001134,,,,,,,
Warszawska premiera,tt0044197,flm0001135,https://www.imdb.com/title/tt0044197/,,,,,,
По новому Китаю,,flm0001136,,,,,,,
На первенство СССР по футболу ЦДСА-Спартак,,flm0001137,,,,,,,
На первенство мира по шахматам,tt6689850,flm0001138,https://www.imdb.com/title/tt6689850/,,,,,,
Спортивная честь,tt0174235,flm0001139,https://www.imdb.com/title/tt0174235/,,,,,,
Цветущая Украина,tt28298265,flm0001140,https://www.imdb.com/title/tt28298265/,,,,,,
Киев,,flm0001141,,,,,,,
Заря над Карпатами,tt0173482,flm0001142,https://www.imdb.com/title/tt0173482/,,,,,,
Gang tie zhan shi,tt13364394,flm0001143,https://www.imdb.com/title/tt13364394/,,,,,,
Памятники Бородино,,flm0001144,,,,,,,
Звериный город,,flm0001145,,,,,,,
Повесть о коне золотом,,flm0001146,,,,,,,
Zocelení,tt0169408,flm0001147,https://www.imdb.com/title/tt0169408/,,,,,,
Pagliacci,tt0027450,flm0001148,https://www.imdb.com/title/tt0027450/,,,,,,
Большая любовь Бетховена,tt0028438,flm0001149,https://www.imdb.com/title/tt0028438/,,,,,,
Новости дня № 30 1951 г.,,flm0001150,,,,,,,
Советский спорт № 6 1951 г.,,flm0001151,,,,,,,
Новый Пекин,tt0171579,flm0001152,https://www.imdb.com/title/tt0171579/,,,,,,
Кавалер золотой звезды,tt0043701,flm0001153,https://www.imdb.com/title/tt0043701/,,,,,,
Человек идет по следу,,flm0001154,,,,,,,
Новости дня № 31 1951 г.,,flm0001155,,,,,,,
Пионерия № 6 1951 г.,,flm0001156,,,,,,,
Наука и техника № 6 1951 г.,,flm0001157,,,,,,,
Новости дня № 32 1951 г.,,flm0001158,,,,,,,
Наши субтропики,,flm0001159,,,,,,,
Лесные звери,,flm0001160,,,,,,,
Die Sonnenbrucks,tt0230805,flm0001161,https://www.imdb.com/title/tt0230805/,,,,,,
Новости дня № 33 1951 г.,,flm0001162,,,,,,,
Киносборник № 32 цветных мультипликаций 1951 г.,,flm0001163,,,,,,,
Новости дня № 34 1951 г.,,flm0001164,,,,,,,
Rasuna valea,tt0041784,flm0001165,https://www.imdb.com/title/tt0041784/,,,,,,
Вратарь,tt0028473,flm0001166,https://www.imdb.com/title/tt0028473/,,,,,,
Пионерия № 7 1951 г.,,flm0001167,,,,,,,
Наука и техника № 8 1951 г.,,flm0001168,,,,,,,
Советский спорт № 7 1951 г.,,flm0001169,,,,,,,
Новости дня № 35 1951 г.,,flm0001170,,,,,,,
Китайский цирк,,flm0001171,,,,,,,
Peter,tt0025647,flm0001172,https://www.imdb.com/title/tt0025647/,,,,,,
По тихому Дону,,flm0001173,,,,,,,
Левитан,,flm0001174,,,,,,,
Международная встреча легкоатлетов СССР-Польша-Румыния,,flm0001175,,,,,,,
Новости дня № 37 1951 г.,,flm0001176,,,,,,,
Новости дня № 36 1951 г.,,flm0001177,,,,,,,
Советский Дагестан,,flm0001178,,,,,,,
Különös házasság,tt0042660,flm0001179,https://www.imdb.com/title/tt0042660/,,,,,,
В зарослях волжской дельты,,flm0001180,,,,,,,
Новости дня № 39 1951 г.,,flm0001181,,,,,,,
Таежная сказка,tt4857252,flm0001182,https://www.imdb.com/title/tt4857252/,,,,,,
Славное море,,flm0001183,,,,,,,
Киносборник № 32 1951 г.,,flm0001184,,,,,,,
Певцы моря и нашей морской славы,,flm0001185,,,,,,,
Новости дня № 38 1951 г.,,flm0001186,,,,,,,
Пионерия № 8 1951 г.,,flm0001187,,,,,,,
Meet John Doe,tt0033891,flm0001188,https://www.imdb.com/title/tt0033891/,,,,,,
