film_id,title (original),Year of Production,Duration (min),IMDB id
flm0000497,Москва социалистическая,,,
flm0000498,Новости дня № 51 1947 г.,,,
flm0000499,Новый дом,1947,,tt0039670
flm0000500,Человек и обезьяна,,,
flm0000501,Молодые капитаны,1939,,tt0179986
flm0000502,Подвиг разведчика,1947,88,tt0039716
flm0000503,Советская Литва,,,
flm0000504,Новости дня № 55 1947 г.,,,
flm0000505,Новости дня № 56 1947 г.,,,
flm0000506,Секреты природы,1950,80,tt0042936
flm0000507,Теремок,1945,25,tt4849690
flm0000508,Roma città aperta,1945,103,tt0038890
flm0000509,Степан Разин,1939,115,tt0031978
flm0000510,Новости дня № 57 1947 г.,,,
flm0000511,Парень из нашего города,1942,65,tt0033801
flm0000512,Пионерия № 9 1947 г.,,,
flm0000513,Советский спорт № 10 1947 г.,,,
flm0000514,Слава Москве,1947,,tt0239998
flm0000515,В мире советского искусства №4 1947 г.,,,
flm0000516,Александр Невский,1938,112,tt0029850
flm0000517,Новости дня № 58 1947 г.,,,
flm0000518,Новости дня № 59 1947 г.,,,
flm0000519,Центр нападения,1947,71,tt0240135
flm0000520,Новости дня № 60 1947 г.,,,
flm0000521,Новости дня № 61 1947 г.,,,
flm0000522,День победившей страны,1948,79,tt0239334
flm0000523,Ленинград,,,
flm0000524,Миклухо-Маклай,1947,90,tt0040972
flm0000525,По ту сторону Аракса,1947,55,tt2709756
flm0000526,Сельская учительница,1947,97,tt0039810
flm0000527,Новости дня № 63 1947 г.,,,
flm0000528,Новости дня № 64 1947 г.,,,
flm0000529,Пионерия № 11 1947 г.,,,
flm0000530,Четвертый перископ,1939,,tt0233434
flm0000531,Боксеры,1941,60,tt1989466
flm0000532,Доктор Айболит,1938,72,tt0031238
flm0000533,Марите,1947,85,tt0039610
flm0000534,Новости дня № 65 1947 г.,,,
flm0000535,XXX Октябрь,,,
flm0000536,Гибель орла,1941,77,tt0032524
flm0000537,Новости дня № 66 1947 г.,,,
flm0000538,Новости дня № 67 1947 г.,,,
flm0000539,Новости дня № 68 1947 г.,,,
flm0000540,Советская Украина,1947,,tt0240017
flm0000541,Великое зарево,1938,73,tt0030928
flm0000542,Новости дня № 69 1947 г.,,,
flm0000543,Новости дня № 70 1947 г.,,,
flm0000544,Пирогов,1947,92,tt0039710
flm0000545,Случай на полустанке,1939,62,tt0254780
flm0000546,Карело-Финская ССР,,,
flm0000547,Наука и техника № 9 1947 г.,,,
flm0000548,Новости дня № 71 1947 г.,,,
flm0000549,Норрчепинг-Динамо,,,
flm0000550,Анаит,1947,66,tt0305212
flm0000551,Новости дня № 72 1947 г.,,,
flm0000552,Международный фестиваль молодежи,,,
flm0000553,Новости дня № 72 1948 г.,,,
flm0000554,Новости дня № 73 1948 г.,,,
flm0000555,Бой под соколом,1942,52,tt3028096
flm0000556,Новости дня № 74 1948 г.,,,
flm0000557,Пионерия № 12 1948 г.,,,
flm0000558,Советский спорт № 13 1948 г.,,,
flm0000559,Время решает,,,
flm0000560,Жизнь в цитадели,1947,90,tt0040014
flm0000561,Новости дня № 1 1948 г.,,,
flm0000562,Рак,,,
flm0000563,Мастера высоких урожаев,,,
flm0000564,Голубые дороги,1948,81,tt0175679
flm0000565,Новости дня № 2 1948 г.,,,
flm0000566,Новости дня № 3 1948 г.,,,
flm0000567,Новости дня № 4 1948 г.,,,
flm0000568,Фронтовые подруги,1941,92,tt0033637
flm0000569,Алишер Навои,1948,100,tt0040086
flm0000570,Киносборник №6 1948 г.,,,
flm0000571,Новости дня № 5 1948 г.,,,
flm0000572,Новости дня № 6 1948 г.,,,
flm0000573,Советский спорт № 1 1948 г.,,,
flm0000574,Новости дня № 7 1948 г.,,,
flm0000575,Сказание о земле сибирской,1948,114,tt0039833
flm0000576,Новости дня № 8 1948 г.,,,
flm0000577,На страже мира,,,
flm0000578,Новости дня № 9 1948 г.,,,
flm0000579,За китами в Антарктику,,,
flm0000580,Новости дня № 10 1948 г.,,,
flm0000581,Цветные мультипликационные фильмы,,,
flm0000582,Новости дня № 11 1948 г.,,,
flm0000583,Русский вопрос,1948,91,tt0039790
